plant,genotype,treatment,flat,position,week,epicotyl,internode1,internode2,internode3,petiole1,petiole2,petiole3,petiole4,experiment
22S02-3,tie-1,Sun,2,3,4,25.27,13.89,3.71,0,37.9,23.4,5.11,0,init.screen
22S02-3,tie-1,Sun,2,3,5,34.45,29.69,28.28,8.9,67.33,59.84,27.38,21.77,init.screen
22S02-3,tie-1,Sun,2,3,6,37.92,38.77,49.35,38.14,83.32,88.89,54.69,54.46,init.screen
22S03-5,tie-1,Sun,3,5,4,33.22,14.64,5.39,0,42.32,25.89,9.34,0,init.screen
22S03-5,tie-1,Sun,3,5,5,38.77,29.66,28.55,15.53,75.48,64.27,29.14,29.31,init.screen
22S03-5,tie-1,Sun,3,5,6,44.34,37.42,45.86,39.55,89.35,82.72,56.29,63.97,init.screen
22S04-3,tie-1,Sun,4,3,4,31.3,10.86,3.04,0,32.55,21.04,8.85,0,init.screen
22S04-3,tie-1,Sun,4,3,5,39.52,24.74,19.71,7.3,54.75,52.32,36.46,19.54,init.screen
22S04-3,tie-1,Sun,4,3,6,47.85,32.24,37.34,30.11,69.03,86.31,77.64,51.73,init.screen
22S06-5,tie-1,Sun,6,5,4,36.24,16.36,2.68,0,28.57,21.66,5.37,0,init.screen
22S06-5,tie-1,Sun,6,5,5,42.1,30.31,25.18,10.69,44.65,54.63,24.57,20.09,init.screen
22S06-5,tie-1,Sun,6,5,6,46.97,36.9,39.86,42.11,51.47,83.55,47.02,50.86,init.screen
82S01-8,M82,Sun,1,8,4,11.2,7.83,6.26,4.6,37.01,38.35,25.09,11.9,init.screen
82S01-8,M82,Sun,1,8,5,12.45,8.55,10.03,10.88,49.22,59.33,50.8,30.67,init.screen
82S01-8,M82,Sun,1,8,6,23.92,13.94,15.48,14.3,56.22,77.65,55.15,44.47,init.screen
82S03-8,M82,Sun,3,8,4,14.59,6.45,0,0,31.02,14.74,4.64,0,init.screen
82S03-8,M82,Sun,3,8,5,20.81,14.17,9.33,0,53.69,33.15,23.94,12.58,init.screen
