p,genotype,treatment,day,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,,notes
T1002.8,T,0.1,21,14.22,11/6/14 0:08,2.47,11/6/14 0:08,0,11/6/14 0:08,0,11/6/14 0:08,11.39,11/6/14 0:08,4.92,11/6/14 0:09,0,,0,,
M1002.7,M,0.1,21,9.8,11/6/14 0:09,1.38,11/6/14 0:09,0,11/6/14 0:09,0,11/6/14 0:09,17.34,11/6/14 0:10,5.59,11/6/14 0:10,0,,0,,
M1002.6,M,0.1,21,8.09,11/6/14 0:10,0.59,11/6/14 0:11,0,11/6/14 0:11,0,11/6/14 0:11,17.63,11/6/14 0:11,2.75,11/6/14 0:11,0,,0,,
T1002.5,T,0.1,21,20.71,11/6/14 0:12,3.98,11/6/14 0:12,0,11/6/14 0:13,0,11/6/14 0:13,17.3,11/6/14 0:13,6.48,11/6/14 0:13,0,,0,,
T1002.4,T,0.1,21,23.11,11/6/14 0:14,3.91,11/6/14 0:14,0,11/6/14 0:14,0,11/6/14 0:14,13.57,11/6/14 0:14,9.04,11/6/14 0:14,0,,0,,
M1002.3,M,0.1,21,8.7,11/6/14 0:15,3.27,11/6/14 0:15,0,11/6/14 0:15,0,11/6/14 0:15,15.39,11/6/14 0:15,8.93,11/6/14 0:15,0,,0,,
M1002.1,M,0.1,21,13.12,11/6/14 0:16,1.9,11/6/14 0:17,0,11/6/14 0:17,0,11/6/14 0:17,16.14,11/6/14 0:17,6.75,11/6/14 0:17,0,,0,,
M0301.8,M,0.03,21,7.76,11/6/14 0:18,2.83,11/6/14 0:18,0,11/6/14 0:18,0,11/6/14 0:18,14.51,11/6/14 0:18,5.98,11/6/14 0:18,0,,0,,
T0301.7,T,0.03,21,24.08,11/6/14 0:19,3.16,11/6/14 0:19,0,11/6/14 0:19,0,11/6/14 0:19,16.02,11/6/14 0:19,11.99,11/6/14 0:19,0,,0,,
T0301.6,T,0.03,21,24.79,11/6/14 0:20,7.96,11/6/14 0:20,0,11/6/14 0:20,0,11/6/14 0:20,16.81,11/6/14 0:20,9.21,11/6/14 0:21,0,,0,,
M0301.5,M,0.03,21,10.49,11/6/14 0:21,3.06,11/6/14 0:21,0,11/6/14 0:21,0,11/6/14 0:21,10.23,11/6/14 0:21,5.81,11/6/14 0:22,0,,0,,
T0301.4,T,0.03,21,28.28,11/6/14 0:22,10.58,11/6/14 0:22,0,11/6/14 0:22,0,11/6/14 0:22,19.08,11/6/14 0:22,11.14,11/6/14 0:23,0,,0,,
M0301.3,M,0.03,21,12,11/6/14 0:23,2.2,11/6/14 0:23,0,11/6/14 0:23,0,11/6/14 0:23,15.45,11/6/14 0:24,13.7,11/6/14 0:24,0,,0,,
M0301.2,M,0.03,21,9.09,11/6/14 0:24,3.16,11/6/14 0:25,0,11/6/14 0:25,0,11/6/14 0:25,13.95,11/6/14 0:25,10.47,11/6/14 0:25,0,,0,,
T0301.1,T,0.03,21,17.74,11/6/14 0:26,6.69,11/6/14 0:26,0,11/6/14 0:26,0,11/6/14 0:26,15.2,11/6/14 0:26,9.93,11/6/14 0:26,0,,0,,
T0102.8,T,0.01,21,24.33,11/6/14 0:27,20.4,11/6/14 0:27,6.37,11/6/14 0:27,2.52,11/6/14 0:27,22.58,11/6/14 0:28,14.47,11/6/14 0:28,7.85,11/6/14 0:28,2.21,11/6/14 0:28,
M0102.7,M,0.01,21,11.3,11/6/14 0:29,2.47,11/6/14 0:29,0,11/6/14 0:29,0,11/6/14 0:29,13.83,11/6/14 0:29,3.58,11/6/14 0:29,0,,0,,
M0102.6,M,0.01,21,14.74,11/6/14 0:30,2.58,11/6/14 0:30,0,11/6/14 0:30,0,11/6/14 0:30,20.86,11/6/14 0:30,7.41,11/6/14 0:30,0,,0,,
T0102.5,T,0.01,21,27.67,11/6/14 0:31,5.28,11/6/14 0:31,0,11/6/14 0:31,0,11/6/14 0:31,18.79,11/6/14 0:31,5.65,11/6/14 0:31,0,,0,,
T0102.4,T,0.01,21,28.11,11/6/14 0:32,15.67,11/6/14 0:32,2.46,11/6/14 0:32,0,11/6/14 0:32,21.96,11/6/14 0:32,11.09,11/6/14 0:33,2.56,11/6/14 0:33,2.56,11/6/14 0:33,
M0102.3,M,0.01,21,10.84,11/6/14 0:33,4.02,11/6/14 0:33,0,11/6/14 0:33,0,11/6/14 0:34,17.02,11/6/14 0:34,10.15,11/6/14 0:34,3.08,11/6/14 0:34,0,,
T0102.2,T,0.01,21,23.75,11/6/14 0:35,8.44,11/6/14 0:35,1.92,11/6/14 0:35,0,11/6/14 0:35,18.82,11/6/14 0:35,13.85,11/6/14 0:35,1.67,11/6/14 0:36,0,,
M0102.1,M,0.01,21,13.17,11/6/14 0:36,2.31,11/6/14 0:36,0,11/6/14 0:36,0,11/6/14 0:36,17.02,11/6/14 0:36,6.07,11/6/14 0:37,0,,0,,
M0101.8,M,0.01,21,9.15,11/6/14 0:40,1.93,11/6/14 0:40,0,11/6/14 0:40,0,11/6/14 0:40,17.49,11/6/14 0:41,4.78,11/6/14 0:41,0,,0,,
T0101.7,T,0.01,21,30.11,11/6/14 0:41,9.85,11/6/14 0:41,1.76,11/6/14 0:41,0,11/6/14 0:42,22.44,11/6/14 0:42,13.16,11/6/14 0:42,0,,0,,
T0101.6,T,0.01,21,31.64,11/6/14 0:42,6.67,11/6/14 0:43,0,11/6/14 0:43,0,11/6/14 0:43,24.4,11/6/14 0:43,7.21,11/6/14 0:43,0,,0,,
M0101.5,M,0.01,21,10.91,11/6/14 0:44,2.49,11/6/14 0:44,0,11/6/14 0:44,0,11/6/14 0:44,12.94,11/6/14 0:44,5.74,11/6/14 0:44,0,,0,,
T0101.4,T,0.01,21,31.2,11/6/14 0:45,8.24,11/6/14 0:45,0,11/6/14 0:45,0,11/6/14 0:45,26.65,11/6/14 0:45,8.29,11/6/14 0:45,0,,0,,
M0101.3,M,0.01,21,8.22,11/6/14 0:46,6.22,11/6/14 0:46,2.44,11/6/14 0:46,0,11/6/14 0:46,22.4,11/6/14 0:46,10.8,11/6/14 0:46,3.29,11/6/14 0:47,0,,
M0101.2,M,0.01,21,13.56,11/6/14 0:47,2.33,11/6/14 0:47,0,11/6/14 0:47,0,11/6/14 0:47,18.68,11/6/14 0:48,4.27,11/6/14 0:48,0,,0,,
T0101.1,T,0.01,21,28.42,11/6/14 0:49,6.29,11/6/14 0:49,0,11/6/14 0:49,0,11/6/14 0:49,15.43,11/6/14 0:49,7.96,11/6/14 0:49,0,,0,,
T0302.8,T,0.03,21,20.63,11/6/14 0:52,3.93,11/6/14 0:52,0,11/6/14 0:52,0,11/6/14 0:52,15.99,11/6/14 0:53,5.37,11/6/14 0:53,0,,0,,
M0302.7,M,0.03,21,10.77,11/6/14 0:53,2.32,11/6/14 0:53,0,11/6/14 0:54,0,11/6/14 0:54,10.78,11/6/14 0:54,3.9,11/6/14 0:54,0,,0,,
M0302.6,M,0.03,21,11.21,11/6/14 0:54,1.36,11/6/14 0:55,0,11/6/14 0:55,0,11/6/14 0:55,17.96,11/6/14 0:55,2.08,11/6/14 0:55,0,,0,,
T0302.5,T,0.03,21,16.53,11/6/14 0:55,1.89,11/6/14 0:56,0,11/6/14 0:56,0,11/6/14 0:56,12.69,11/6/14 0:56,4.24,11/6/14 0:56,0,,0,,
T0302.4,T,0.03,21,27.89,11/6/14 0:57,12.9,11/6/14 0:57,3.33,11/6/14 0:57,0,11/6/14 0:57,14.67,11/6/14 0:57,12.27,11/6/14 0:57,2.34,11/6/14 0:57,0,,
M0302.3,M,0.03,21,6.88,11/6/14 0:58,0.01,11/6/14 0:58,0,11/6/14 0:58,0,11/6/14 0:58,13.85,11/6/14 0:58,1.58,11/6/14 0:58,0,,0,,
T0302.2,T,0.03,21,27.94,11/6/14 0:59,5.49,11/6/14 0:59,0,11/6/14 0:59,0,11/6/14 0:59,18.25,11/6/14 0:59,7.94,11/6/14 0:59,1.35,11/6/14 13:00,0,,
M0302.1,M,0.03,21,9.26,11/6/14 13:00,1.74,11/6/14 13:00,0,11/6/14 13:00,0,11/6/14 13:00,15.06,11/6/14 13:01,2.82,11/6/14 13:01,0,,0,,
T1001.1,T,0.1,21,10.17,11/6/14 13:02,0,11/6/14 13:02,0,11/6/14 13:02,0,11/6/14 13:02,11.69,11/6/14 13:02,2.01,11/6/14 13:03,0,,0,,
M1001.2,M,0.1,21,10.68,11/6/14 13:04,1.08,11/6/14 13:05,0,11/6/14 13:05,0,11/6/14 13:05,15.26,11/6/14 13:05,3.52,11/6/14 13:05,0,,0,,
M1001.3,M,0.1,21,9.63,11/6/14 13:06,2.67,11/6/14 13:06,0,11/6/14 13:06,0,11/6/14 13:06,17.62,11/6/14 13:06,5.46,11/6/14 13:07,0,,0,,
T1001.4,T,0.1,21,27.9,,7.03,11/6/14 13:07,2.29,11/6/14 13:07,0,11/6/14 13:07,18.38,11/6/14 13:08,12.7,11/6/14 13:08,1.75,11/6/14 13:08,0,,
M1001.5,M,0.1,21,6.48,11/6/14 13:08,0,11/6/14 13:09,0,11/6/14 13:09,0,11/6/14 13:09,10.44,11/6/14 13:09,1.89,11/6/14 13:09,0,,0,,
T1001.6,T,0.1,21,27.9,11/6/14 13:10,7.98,11/6/14 13:10,1.54,11/6/14 13:10,0,11/6/14 13:10,18.75,11/6/14 13:11,10.95,11/6/14 13:11,1.54,11/6/14 13:11,0,,
T1001.7,T,0.1,21,11.25,11/6/14 13:11,0.9,11/6/14 13:11,0,11/6/14 13:12,0,11/6/14 13:12,15.81,11/6/14 13:12,4.11,11/6/14 13:12,0,,0,,
M1001.8,M,0.1,21,8.62,11/6/14 13:12,5.17,11/6/14 13:13,2.14,11/6/14 13:13,0,11/6/14 13:13,15.97,11/6/14 13:13,17.05,11/6/14 13:13,4.09,11/6/14 13:13,0,,
M0001.8,M,0,21,12.62,11/6/14 13:57,7.95,11/6/14 13:57,1.7,11/6/14 13:57,0,11/6/14 13:58,21.98,11/6/14 13:58,9.38,11/6/14 13:58,2.91,11/6/14 13:58,0,,
T0001.7,T,0,21,27.33,11/6/14 14:01,5.8,11/6/14 14:01,0,11/6/14 14:02,0,11/6/14 14:02,18.85,11/6/14 14:03,6.04,11/6/14 14:04,0,,0,,
T0001.6,T,0,21,27.92,11/6/14 14:04,9.99,11/6/14 14:04,0,11/6/14 14:04,0,11/6/14 14:04,23.02,11/6/14 14:05,8.29,11/6/14 14:05,0,,0,,
M0001.5,M,0,21,13.05,11/6/14 14:05,1.06,11/6/14 14:05,0,11/6/14 14:05,0,11/6/14 14:05,12.16,11/6/14 14:06,7.04,11/6/14 14:06,0,,0,,
T0001.4,T,0,21,38.46,11/6/14 14:07,13.55,11/6/14 14:07,2.53,11/6/14 14:07,0,11/6/14 14:07,20.1,11/6/14 14:07,11.15,11/6/14 14:07,1.78,11/6/14 14:08,0,,
M0001.3,M,0,21,13.83,11/6/14 14:08,2.87,11/6/14 14:08,0,11/6/14 14:08,0,11/6/14 14:08,23.15,11/6/14 14:09,9.77,11/6/14 14:09,0,,0,,
M0001.2,M,0,21,14.52,11/6/14 14:09,5.72,11/6/14 14:10,0,11/6/14 14:10,0,11/6/14 14:10,19.56,11/6/14 14:10,8.06,11/6/14 14:10,0,,0,,
T0001.1,T,0,21,30.24,11/6/14 14:10,9.9,11/6/14 14:11,1.27,11/6/14 14:11,0,11/6/14 14:11,16.18,11/6/14 14:11,11.08,11/6/14 14:11,0,,0,,
T0012.8,T,0.001,21,20.16,11/6/14 14:12,11.09,11/6/14 14:12,8.22,11/6/14 14:12,2.07,11/6/14 14:13,18.4,11/6/14 14:13,12.38,11/6/14 14:13,7.03,11/6/14 14:13,2.29,11/6/14 14:13,
M0012.7,M,0.001,21,10.62,11/6/14 14:14,1.74,11/6/14 14:14,0,11/6/14 14:14,0,11/6/14 14:14,12.42,11/6/14 14:14,3.81,11/6/14 14:14,0,,0,,
M0012.6,M,0.001,21,13.01,11/6/14 14:15,1.9,11/6/14 14:16,0,11/6/14 14:16,0,11/6/14 14:16,15.23,11/6/14 14:16,6.45,11/6/14 14:16,0,,0,,
