plant,AG,GA2,flat,epi,,int1,,int2,,first.leaf
1,M82,het,1,17.55,7/14/15 10:31,16.12,7/14/15 10:31,1.46,7/14/15 10:31,2
2,het,het,1,22.11,7/14/15 9:09,16.45,7/14/15 9:09,7.54,7/14/15 9:09,1
3,-,het,1,24.01,7/14/15 9:09,15.2,7/14/15 9:09,8.34,7/14/15 9:10,1
4,M82,M82,1,37.96,7/14/15 9:10,35.76,7/14/15 9:10,24.3,7/14/15 9:11,1
5,heinz,heinz,1,11.91,7/14/15 9:11,12.63,7/14/15 9:11,7.68,7/14/15 9:11,1
6,M82,M82,1,32.01,7/14/15 9:12,30.11,7/14/15 9:12,9.39,7/14/15 9:12,1
7,het,het,1,22.81,7/14/15 9:13,15.82,7/14/15 9:13,9.16,7/14/15 9:14,1
8,M82,M82,2,48.65,7/14/15 9:20,26.62,7/14/15 9:20,23.66,7/14/15 9:20,1
9,het,het,2,20.43,7/14/15 9:21,14.84,7/14/15 9:21,9.77,7/14/15 9:21,1
10,M82,M82,2,34.44,7/14/15 9:22,29.02,7/14/15 9:22,16.17,7/14/15 9:22,1
11,het,heinz,2,NA,,NA,,NA,,NA
12,heinz,heinz,2,13.8,7/14/15 10:32,6.93,7/14/15 10:32,0.05,7/14/15 10:33,2
13,M82,heinz,2,17.08,7/14/15 9:23,10.5,7/14/15 9:23,5.83,7/14/15 9:24,1
14,het,het,2,17.39,7/14/15 10:33,18.37,7/14/15 10:33,8.56,7/14/15 10:33,2
15,het,het,2,22.43,7/14/15 9:24,17.52,7/14/15 9:24,11.07,7/14/15 9:24,1
16,M82,het,3,15.56,7/14/15 9:28,15.74,7/14/15 9:28,11.98,7/14/15 9:28,1
17,heinz,heinz,3,20.13,7/14/15 9:29,13.7,7/14/15 9:29,6.99,7/14/15 9:29,1
18,M82,M82,3,36.86,7/14/15 9:29,26.56,7/14/15 9:30,20.77,7/14/15 9:30,1
19,heinz,heinz,3,18.27,7/14/15 9:30,15.97,7/14/15 9:30,11.17,7/14/15 9:31,1
20,het,het,3,25.84,7/14/15 9:31,15.28,7/14/15 9:31,8.58,7/14/15 9:32,1
21,het,heinz,3,17.78,7/14/15 9:32,13.03,7/14/15 9:32,10.25,7/14/15 9:32,1
22,M82,het,3,33.53,7/14/15 9:33,29.37,7/14/15 9:33,22.11,7/14/15 9:33,1
23,M82,het,4,23.78,7/14/15 9:35,14.4,7/14/15 9:35,11.5,7/14/15 9:35,1
24,het,M82,4,34.27,7/14/15 9:36,10.36,7/14/15 9:36,32.04,7/14/15 9:36,1
25,M82,het,4,23.42,7/14/15 9:36,20.43,7/14/15 9:37,6.38,7/14/15 9:37,1
26,het,het,4,21.52,7/14/15 10:35,17.13,7/14/15 10:35,6.91,7/14/15 10:35,2
27,M82,M82,4,43.95,7/14/15 9:37,30.61,7/14/15 9:38,19.37,7/14/15 9:38,1
28,het,M82,4,39.05,7/14/15 9:38,20.7,7/14/15 9:39,30.4,7/14/15 9:39,1
29,het,het,5,13.4,7/14/15 9:43,9.85,7/14/15 9:43,6.01,7/14/15 9:44,1
30,het,het,5,11.35,7/14/15 9:44,10.88,7/14/15 9:44,5.37,7/14/15 9:44,1
31,het,heinz,5,15.71,7/14/15 10:28,9.99,7/14/15 10:28,1.98,7/14/15 10:28,2
32,het,het,5,21.73,7/14/15 9:47,15.87,7/14/15 9:47,9,7/14/15 9:47,1
