,Row.names,logFC,logCPM,LR,PValue,FDR,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align,,
53,Solyc02g069110,-2.905934784,9.058834881,140.0527389,2.59E-32,3.47E-30,AT1G02305,NA,"cathepsin B-like cysteine protease, putative; similar to cathepsin B-like cysteine protease, putative [Arabidopsis thaliana] (TAIR:AT1G02300.1); similar to Peptidase C1A, papain; Somatotropin hormone [Medicago truncatula] (GB:ABD32840.1); contains InterPro domain Peptidase, cysteine peptidase active site; (InterPro:IPR000169); contains InterPro domain Peptidase C1A, papain; (InterPro:IPR013128); contains InterPro domain Peptidase C1, propeptide; (InterPro:IPR012599); contains InterPro domain Peptidase C1A, papain C-terminal; (InterPro:IPR000668)",66.95,351,1.00E-140,496,98.02816901,,SL2.40ch02:33646977-33649728
389,Solyc02g081110,-2.496445489,2.402671852,5.296235616,0.021371564,0.078126001,NA,NA,NA,NA,NA,NA,NA,NA,,
215,Solyc02g070960,-2.008633619,3.285905048,9.544654804,0.002005325,0.011942827,NA,NA,NA,NA,NA,NA,NA,NA,,
150,Solyc02g070280,-1.521177201,5.800167607,31.45728029,2.04E-08,6.43E-07,AT4G21120,AAT1,cationic amino acid transporter,74.71,514,0,731,96.24765478,,
107,Solyc02g069700,-1.202926325,2.544974234,1.811156649,0.178369541,0.396705702,NA,NA,NA,NA,NA,NA,NA,NA,,
208,Solyc02g070890,-1.13811073,6.659037993,40.25132716,2.23E-10,1.20E-08,AT5G46330,FLS2,"Encodes a leucine-rich repeat serine/threonine protein kinase that is expressed ubiquitously. FLS2 is involved in MAP kinase signalling relay involved in innate immunity. Essential in the perception of flagellin, a potent elicitor of the defense response.",54.3,1162,0,1146,98.46153846,,
211,Solyc02g070920,-1.033688032,2.834215626,1.932220445,0.164515722,0.38339316,NA,NA,NA,NA,NA,NA,NA,NA,,
261,Solyc02g071500,-0.972545203,4.244572277,6.110856228,0.013435403,0.054555877,AT1G17020,ATSRG1,Encodes a novel member of the Fe(II)/ascorbate oxidase gene family; senescence-related gene.,51.01,347,4.00E-107,384,95.49295775,,
416,Solyc02g081390,-0.96839706,10.05917019,94.01820005,3.13E-22,2.79E-20,AT1G65840,ATPAO4,"ATPAO4 (POLYAMINE OXIDASE 4); amine oxidase; similar to ATPAO2 (POLYAMINE OXIDASE 2), amine oxidase [Arabidopsis thaliana] (TAIR:AT2G43020.1); similar to H0215F08.3 [Oryza sativa (indica cultivar-group)] (GB:CAH66792.1); similar to OSJNBb0004A17.1 [Oryza sativa (japonica cultivar-group)] (GB:CAE03599.2); similar to Os04g0671300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054219.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Adrenodoxin reductase; (InterPro:IPR000759); contains InterPro domain Flavin-containing amine oxidase; (InterPro:IPR001613); contains InterPro domain Amine oxidase; (InterPro:IPR002937)",70.48,454,0,680,90.52419355,,
4,Solyc02g068510,-0.867422464,4.902860914,7.645072449,0.005692761,0.02754732,AT1G31040,NA,"zinc ion binding; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G12646.1); similar to zinc-binding protein [Pisum sativum] (GB:BAB69816.1); contains InterPro domain Protein of unknown function DUF597; (InterPro:IPR006734); contains InterPro domain Zinc finger, B-box; (InterPro:IPR000315)",60.34,237,5.00E-74,274,97.10743802,,
92,Solyc02g069550,-0.83582654,4.965037469,7.453173322,0.006332471,0.030037207,NA,NA,NA,NA,NA,NA,NA,NA,,
481,Solyc02g082160,-0.802679119,6.586868461,16.38661674,5.16E-05,0.000522333,NA,NA,NA,NA,NA,NA,NA,NA,,
441,Solyc02g081670,-0.788896892,4.766060443,5.671474795,0.017242954,0.067461483,AT1G30950,UFO,"Required for the proper identity of the floral meristem. Involved in establishing the whorled pattern of floral organs, in the control of specification of the floral meristem, and in the activation of APETALA3 and PISTILLATA.",61.95,410,8.00E-136,480,89.47368421,,
165,Solyc02g070430,-0.787651588,7.732489488,22.77002127,1.83E-06,2.97E-05,AT1G30040,ATGA2OX2,Encodes a gibberellin 2-oxidase. AtGA2OX2 expression is responsive to cytokinin and KNOX activities.,57.18,341,9.00E-110,393,98.5380117,,
271,Solyc02g071640,-0.760905363,5.876167647,11.95355281,0.000545433,0.003950702,NA,NA,NA,NA,NA,NA,NA,NA,,
470,Solyc02g082040,-0.729593708,4.254766852,3.074199034,0.079543767,0.219770408,NA,NA,NA,NA,NA,NA,NA,NA,,
496,Solyc02g082330,-0.72704066,2.718093044,0.864175821,0.35257275,0.589921675,NA,NA,NA,NA,NA,NA,NA,NA,,
255,Solyc02g071400,-0.715850378,3.804499205,2.320104821,0.12771142,0.319875332,NA,NA,NA,NA,NA,NA,NA,NA,,
66,Solyc02g069270,-0.699833889,3.21296101,1.329736687,0.248852067,0.490384955,NA,NA,NA,NA,NA,NA,NA,NA,,
134,Solyc02g070020,-0.69767174,2.984685506,1.019500483,0.312637525,0.55666252,AT5G49690,NA,UDP-glucoronosyl/UDP-glucosyl transferase family protein; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT5G65550.1); similar to putative anthocyanidine rhamnosyl-transferase [Capsicum annuum] (GB:AAM12787.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213),54.14,471,1.00E-150,530,97.70833333,,
13,Solyc02g068610,-0.677289794,6.802685992,15.24037537,9.47E-05,0.00087477,NA,NA,NA,NA,NA,NA,NA,NA,,
391,Solyc02g081130,-0.667486414,5.3745685,6.323981952,0.011911585,0.049493097,AT4G22140,EBS,"DNA binding; similar to bromo-adjacent homology (BAH) domain-containing protein [Arabidopsis thaliana] (TAIR:AT4G04260.1); similar to unknown [Solanum tuberosum] (GB:ABB29929.1); contains InterPro domain Zinc finger, FYVE/PHD-type; (InterPro:IPR011011); contains InterPro domain Zinc finger, PHD-type; (InterPro:IPR001965); contains InterPro domain Bromo adjacent region; (InterPro:IPR001025)",67.31,208,2.00E-79,291,95.75471698,,
378,Solyc02g080960,-0.655384871,5.578544334,7.190734094,0.007328099,0.033860873,AT1G05070,NA,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G32580.1); similar to unknown protein [Phytophthora sojae] (GB:AAO24648.1); contains InterPro domain Protein of unknown function DUF1068; (InterPro:IPR010471),64.79,71,9.00E-21,95.1,92.10526316,,
356,Solyc02g080600,-0.65431371,7.113211473,18.33886227,1.85E-05,0.000220233,NA,NA,NA,NA,NA,NA,NA,NA,,
12,Solyc02g068600,-0.645488453,8.237971152,17.27836943,3.23E-05,0.000368176,NA,NA,NA,NA,NA,NA,NA,NA,,
435,Solyc02g081600,-0.641702606,9.357091148,39.6235072,3.08E-10,1.38E-08,AT1G05300,ZIP5,member of Fe(II) transporter isolog family,50.74,337,1.00E-85,313,90.93484419,,
377,Solyc02g080950,-0.63343788,7.68254182,11.64193634,0.000644814,0.004608274,AT4G04370,NA,pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT3G03580.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAK09236.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990),50.21,715,0,727,94.56233422,,
143,Solyc02g070200,-0.614800629,2.545413905,0.497597637,0.480557606,0.698830285,NA,NA,NA,NA,NA,NA,NA,NA,,
522,Solyc02g082620,-0.609874714,4.018824305,2.066897956,0.15052742,0.36277107,NA,NA,NA,NA,NA,NA,NA,NA,,
276,Solyc02g071710,-0.609675045,13.01020271,34.53033833,4.20E-09,1.41E-07,AT1G29670,NA,"GDSL-motif lipase/hydrolase family protein; similar to GDSL-motif lipase/hydrolase family protein [Arabidopsis thaliana] (TAIR:AT1G29660.1); similar to GDSL-lipase 1 [Capsicum annuum] (GB:AAZ23955.1); contains InterPro domain Lipolytic enzyme, G-D-S-L; (InterPro:IPR001087)",50.41,367,5.00E-101,364,95.01312336,,
